Station,Section,Train Number,Train Name,From,To,Arrival Time,Departure Time,Load,Days,Type,Platform No,Remarks
UBL,ORIGINATING TRAINS,06919/17377,06919 Sss Hubballi - Vijayapura Passenger Special,UBL,BJP/MAQ,,06:25,16,DAILY,departing,4,
UBL,ORIGINATING TRAINS,07355,07355 Ubl Rmm Exp,UBL,RMM,,06:50,21,SATURDAY,departing,3,
UBL,ORIGINATING TRAINS,12777,12777 Ubl Tvcn Sf Exp,UBL,KCVL,,07:05,21,WEDNESDAY,departing,8,
UBL,ORIGINATING TRAINS,17347 MEMU,,UBL,CTA,,07:20,8,DAILY,departing,,
UBL,ORIGINATING TRAINS,56927,56927 Sss Hubballi - Sindhanur Passenger,UBL,SNNR,,07:15,13,DAILY,departing,5,
UBL,ORIGINATING TRAINS,56911 MEMU,56911 Hubballi - Guntakal Memu,UBL,GTL,,07:45,12,DAILY,departing,6,
UBL,ORIGINATING TRAINS,07357,07357 Ubl Rxl Spl,UBL,RXL,,09:00,23,SATURDAY,departing,,
UBL,ORIGINATING TRAINS,16214,,UBL,ASK,,15:00,11,DAILY,departing,,
UBL,ORIGINATING TRAINS,07313,07313 Ubl Qln Spl,UBL,QLN,,15:15,23,SUNDAY,departing,2,
UBL,ORIGINATING TRAINS,17317,17317 Ubl Dr Express,UBL,DR,,16:30,16,DAILY,departing,2,
UBL,ORIGINATING TRAINS,07329 MEMU,07329 Sss Hubballi - Vijayapura Intercity Express Special,UBL,BJP,,16:45,8,EXCEPT SUN,departing,7,
UBL,ORIGINATING TRAINS,07315,07315 Ubl Mfp Spl,UBL,MFP,,17:20,22,MONDAY,departing,1,
UBL,ORIGINATING TRAINS,17303,17303 Sss Hubballi - Sindhanur Express,UBL,SNNR,,18:00,8,DAILY,departing,3,
UBL,ORIGINATING TRAINS,17323,17323 Ubl Bsbs Exp,UBL,BSBS,,18:15,22,FRIDAY,departing,3,
UBL,ORIGINATING TRAINS,16591,16591 Hampi Express,UBL,MYS,,18:30,21,DAILY,departing,5,
UBL,ORIGINATING TRAINS,07359,07359 Ubl Bgkt Spl,UBL,BGKT,,19:30,21,SUNDAY,departing,,
UBL,ORIGINATING TRAINS,20680,20680 Ubl Mas Sf Exp,UBL,CEN,,20:30,19,THURSDAY,departing,8,
UBL,ORIGINATING TRAINS,22697,22697 Ubl Mas Sf Exp,UBL,CEN,,20:30,19,SATURDAY,departing,8,
UBL,ORIGINATING TRAINS,07363,07363 Ubl Ynrk Spl,UBL,YNRK,,19:45,16,MONDAY,departing,2,
UBL,ORIGINATING TRAINS,17313,17313 Ubl Mas Exp,UBL,CEN,,21:35,19,"WED, FRI",8,,
UBL,ORIGINATING TRAINS,20687,20687 Ubl Sbc Sf Exp,UBL,SBC,,23:30,20,DAILY,departing,3,
UBL,ORIGINATING TRAINS,07394 DEMU,07394 Sss Hubballi - Hosapete Demu Special,UBL,HPT,,23:30,8,SUNDAY,departing,4,
UBL,ORIGINATING TRAINS,20657,20657 Ubl Nzm Exp,UBL,NZM,,23:50,21,FRIDAY,departing,4,
UBL,ORIGINATING TRAINS,20669,20669 Ubl Pune Vb Exp,UBL,PA,,05:00,8,"WED, FRI,1,departing,,
UBL,TERMINATING TRAINS,07393 DEMU,07393 Hosapete - Sss Hubballi Demu Special,HPT,UBL,00:55,,8,SUNDAY,arriving,,
UBL,TERMINATING TRAINS,20658,20658 Nzm Ubl Sf Exp,NZM,UBL,03:30,,21,TUESDAY,arriving,2,
UBL,TERMINATING TRAINS,17314,17314 Mas Ubl Express,CEN,UBL,04:50,,19,FRI/SUN,arriving,7,
UBL,TERMINATING TRAINS,07358,07358 Rxl Ubl Puja Spl,RXL,UBL,05:25,,23,FRIDAY,arriving,,
UBL,TERMINATING TRAINS,22698,22698 Mas Ubl Sf Exp,CEN,UBL,05:00,,19,MONDAY,arriving,7,
UBL,TERMINATING TRAINS,20679,20679 Mas Ubl Sf Exp,CEN,UBL,05:00,,19,SATURDAY,arriving,6,
UBL,TERMINATING TRAINS,07364,07364 Ynrk Ubl Spl,YNRK,UBL,06:30,,16,SATURDAY,arriving,3,
UBL,TERMINATING TRAINS,17330,17330 Bza Ubl Exp,BZA,UBL,06:40,,16,DAILY,arriving,4,
UBL,TERMINATING TRAINS,20688,20688 Sbc Ubl Sf Exp,SBC,UBL,05:30,,20,DAILY,arriving,2,
UBL,TERMINATING TRAINS,17324,17324 Bnrs Ubl Expres,BSBS,UBL,09:20,,22,TUESDAY,arriving,2,
UBL,TERMINATING TRAINS,16592,16592 Hampi Express,MYS,UBL,10:20,,21,DAILY,arriving,5,
UBL,TERMINATING TRAINS,17328,17328 Kushtagi - Sss Hubballi Express,KHTI,UBL,10:40,,11,DAILY,arriving,6,
UBL,TERMINATING TRAINS,07330 MEMU,07330 Vijayapura - Sss Hubballi Intercity Express Special,BJP,UBL,11:00,,8,SUN,arriving,7,
UBL,TERMINATING TRAINS,07316,07316 Mfp Ubl Spl,MFP,UBL,11:00,,22,SATURDAY,arriving,,
UBL,TERMINATING TRAINS,12778,12778 Tvcn Ubl Sf Exp,KCVL,UBL,12:15,,21,FRIDAY,arriving,7,
UBL,TERMINATING TRAINS,17331,17331 Miraj - Sss Hubballi Express,MRJ,UBL,13:30,,8,DAILY,arriving,3,
UBL,TERMINATING TRAINS,07360,07360 Bgkt Ubl Spl,BGKT,UBL,15:15,,21,WEDNESDAY,arriving,,
UBL,TERMINATING TRAINS,06920,06920 Vijayapura - Sss Hubballi Passenger Special,BJP,UBL,18:15,,16,DAILY,arriving,,
UBL,TERMINATING TRAINS,07314,07314 Qln Ubl Spl,QLN,UBL,18:30,,23,TUESDAY,arriving,,
UBL,TERMINATING TRAINS,17348 MEMU,17348 Chitradurga - Sss Hubballi Memu Express,CTA,UBL,18:35,,8,DAILY,arriving,,
UBL,TERMINATING TRAINS,56928,56928 Sindhanur - Sss Hubballi Passenger,SNNR,UBL,19:35,,11,DAILY,arriving,,
UBL,TERMINATING TRAINS,07356,07356 Rmm Ubl Spl,RMM,UBL,20:25,,21,MONDAY,arriving,,
UBL,TERMINATING TRAINS,56912 MEMU,56912 Guntakal - Hubballi Memu,GTL,UBL,22:00,,12,DAILY,arriving,6,
UBL,TERMINATING TRAINS,20670,20670 Ubl Vandebharat,PA,UBL,22:45,,8,"THUR, SAT,1,arriving,,
UBL,PLATFORM TURNAROUND,17314/17313,17314 Mas Ubl Express,CEN,CEN,04:50,21:35,19,FRI,both,7,
UBL,PLATFORM TURNAROUND,20679/22697,20679 Mas Ubl Sf Exp,CEN,CEN,05:20,20:30,19,SAT,both,6,
UBL,PLATFORM TURNAROUND,17050/17049,17050 Hyb Ubl Exp,HYB,HYB,05:55,21:00,22,DAILY,both,7,
UBL,PLATFORM TURNAROUND,20688/20687,20688 Sbc Ubl Sf Exp,SBC,SBC,06:30,23:30,20,THREE DAYS A WEEK,both,2,
UBL,PLATFORM TURNAROUND,20655/20656,20655 Ypr Ubl Exp,YPR,YPR,07:15,11:45,21,SAT,both,2,
UBL,PLATFORM TURNAROUND,56903/56904,56903 Sur Dharwar Pass,SUR,SUR,09:45,18:20,11,DAILY,both,3,AT DWR
UBL,PLATFORM TURNAROUND,17304/17332,17304 Sindhanur - Sss Hubballi Express,SNNR,MRJ,09:50,10:45,8,DAILY,both,4,DEMU
UBL,PLATFORM TURNAROUND,17318/17329,17318 Dr Hubballi Exp,DR,BZA,10:45,19:30,16,DAILY,both,2,
UBL,PLATFORM TURNAROUND,07330/07329,07330 Vijayapura - Sss Hubballi Intercity Express Special,BJP,BJP,11:00,16:45,8,DAILY EXCEPT ALT SAT,both,7,MEMU
UBL,PLATFORM TURNAROUND,17225/17226,17225 Amaravathi Exp,NS,NS,11:30,13:00,22,DAILY,both,4,
UBL,PLATFORM TURNAROUND,16213/56906,,ASK,SUR,12:35,13:25,11,DAILY,both,UBL,
UBL,PLATFORM TURNAROUND,12079/12080,12079 Janshatabdi Exp,SBC,SBC,12:50,14:10,18,DAILY,both,2,
UBL,PLATFORM TURNAROUND,56905/17327,56905 Solapur - Hubballi Passenger,SUR,KHTI,14:25,17:00,11,DAILY,both,6,
UBL,PLATFORM TURNAROUND,17348/17347,17348 Chitradurga - Sss Hubballi Memu Express,CTA,CTA,18:35,07:20,8,DAILY EXCEPT ALT THU,both,UBL,MEMU
UBL,PLATFORM TURNAROUND,57401/57402,57401 Tpty Ubl Pass,TPTY,TPTY,21:30,06:00,18,DAILY,both,5,
UBL,PLATFORM TURNAROUND,56912/56911,56912 Guntakal - Hubballi Memu,GTL,GTL,22:00,07:45,12,DAILY EXCEPT ALT SAT,both,6,MEMU
UBL,PLATFORM TURNAROUND,12725/12726,12725 Siddaganga Exp,SBC,SBC,21:40,05:35,21,DAILY,both,1,AT DWR
UBL,PLATFORM TURNAROUND,20661/20662,20661 Dwr Vande Bharat,SBC,SBC,12:00,13:30,8,EXCEPT TUE,both,1,AT DWR
UBL,PLATFORM TURNAROUND,20670/20669,20670 Ubl Vandebharat,PA,PA,22:45,05:00,8,"FRI, SUN",1,UBL,
UBL,PASS THROUGH,16541/16542,16541 Ypr Pvr Exp,YPR,PVR,01:45,02:00,21,FRI,both,1,
UBL,PASS THROUGH,16535/16536,16535 Golgumbaz Exp,MYS,PVR,02:00,02:30,21,DAILY,both,1,
UBL,PASS THROUGH,20653/20654,20653 Sbc Bgm Exp,SBC,BGM,03:35,03:45,22,DAILY,both,1,
UBL,PASS THROUGH,12781/12782,12781 Swarna Jayanthi,MYS,NZM,04:05,04:15,20,SAT,both,1,
UBL,PASS THROUGH,19667/19668,19667 Mys Humsafar Exp,UDZ,MYS,05:05,05:15,20,WED,both,2,
UBL,PASS THROUGH,16532/16531,16532 Garib Nawaz Exp,SBC,AII,05:30,05:40,21,SAT,both,3,
UBL,PASS THROUGH,16534/16533,16534 Jodhpur Exp,SBC,BGKT,05:30,05:40,21,MON,both,3,
UBL,PASS THROUGH,20686/20685,20686 Gandhidham Exp,SBC,GIMB,07:00,07:10,21,SUN,both,2,
UBL,PASS THROUGH,20694/20693,20694 Jodhpur Exp,SBC,JU,07:00,07:10,21,"TUE, THU",1,SBC,
UBL,PASS THROUGH,16210/16209,16210 Ajmer Express,MYS,AII,07:00,07:10,21,"WED, FRI",1,MYS,
UBL,PASS THROUGH,12726/12725,12726 Siddaganga Exp,DWR,SBC,06:05,06:15,21,DAILY,both,3,
UBL,PASS THROUGH,16589/16590,16589 Rani Chennamma,SBC,SLI,06:15,06:25,22,DAILY,both,1,
UBL,PASS THROUGH,22497/22498,22497 Sgnr Tpj Humsfar,SNGR,TPJ,06:20,06:30,20,WED,both,3,
UBL,PASS THROUGH,17301/17302,17301 Mys Bgm Exp,MYS,BGM,06:40,06:50,21,DAILY,both,1,
